pmcid,pmid,saved_path,source,format,status,notes
,31564034.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,31315026.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,31315026.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,31315026.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,31315026.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,31091979.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6819472,31665063.0,downloaded_papers/PMC6819472.xml,PMC,xml,ok,
PMC6842583,31636193.0,downloaded_papers/PMC6842583.xml,PMC,xml,ok,
,31330572.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6675118,31329595.0,downloaded_papers/PMC6675118.xml,PMC,xml,ok,
PMC7710742,33268789.0,downloaded_papers/PMC7710742.xml,PMC,xml,ok,
PMC6688959,31256989.0,downloaded_papers/PMC6688959.xml,PMC,xml,ok,
PMC5783879,29193784.0,downloaded_papers/PMC5783879.xml,PMC,xml,ok,
PMC6390544,30808399.0,downloaded_papers/PMC6390544.xml,PMC,xml,ok,
PMC6824492,31530576.0,downloaded_papers/PMC6824492.xml,PMC,xml,ok,
,31036937.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6398448,30718289.0,downloaded_papers/PMC6398448.xml,PMC,xml,ok,
PMC6361888,30718791.0,downloaded_papers/PMC6361888.xml,PMC,xml,ok,
,31675487.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6688959,31256989.0,downloaded_papers/PMC6688959.xml,PMC,xml,ok,
PMC9692009,36439123.0,downloaded_papers/PMC9692009.xml,PMC,xml,ok,
PMC10041116,36913592.0,downloaded_papers/PMC10041116.xml,PMC,xml,ok,
PMC9546589,36161909.0,downloaded_papers/PMC9546589.xml,PMC,xml,ok,
PMC6598374,31248403.0,downloaded_papers/PMC6598374.xml,PMC,xml,ok,
PMC9546589,36161909.0,downloaded_papers/PMC9546589.xml,PMC,xml,ok,
PMC9546589,36161909.0,downloaded_papers/PMC9546589.xml,PMC,xml,ok,
PMC9485834,36147738.0,downloaded_papers/PMC9485834.xml,PMC,xml,ok,
PMC10166166,37155315.0,downloaded_papers/PMC10166166.xml,PMC,xml,ok,
PMC10768793,37533201.0,downloaded_papers/PMC10768793.xml,PMC,xml,ok,
PMC9546589,36161909.0,downloaded_papers/PMC9546589.xml,PMC,xml,ok,
,35508139.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,35508139.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,35580406.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,35728625.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,35728625.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC9099074,35571026.0,downloaded_papers/PMC9099074.xml,PMC,xml,ok,
PMC8984963,35235780.0,downloaded_papers/PMC8984963.xml,PMC,xml,ok,
,35508139.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC9996236,36744393.0,downloaded_papers/PMC9996236.xml,PMC,xml,ok,
,35143761.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8984963,35235780.0,downloaded_papers/PMC8984963.xml,PMC,xml,ok,
PMC8935213,35050308.0,downloaded_papers/PMC8935213.xml,PMC,xml,ok,
PMC8864016,35194044.0,downloaded_papers/PMC8864016.xml,PMC,xml,ok,
PMC8919768,35196486.0,downloaded_papers/PMC8919768.xml,PMC,xml,ok,
PMC9645817,35418685.0,downloaded_papers/PMC9645817.xml,PMC,xml,ok,
PMC8848662,35168652.0,downloaded_papers/PMC8848662.xml,PMC,xml,ok,
PMC9126248,35606885.0,downloaded_papers/PMC9126248.xml,PMC,xml,ok,
PMC8633617,34734245.0,downloaded_papers/PMC8633617.xml,PMC,xml,ok,
PMC8833843,35108527.0,downloaded_papers/PMC8833843.xml,PMC,xml,ok,
PMC8833843,35108527.0,downloaded_papers/PMC8833843.xml,PMC,xml,ok,
,35143761.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8698620,34942977.0,downloaded_papers/PMC8698620.xml,PMC,xml,ok,
PMC8848662,35168652.0,downloaded_papers/PMC8848662.xml,PMC,xml,ok,
PMC9072346,35513694.0,downloaded_papers/PMC9072346.xml,PMC,xml,ok,
PMC8720468,34411378.0,downloaded_papers/PMC8720468.xml,PMC,xml,ok,
